blue team,red team,result,game time,blue gold,red gold
Immortals,100 Thieves,Defeat,30:55,44.9,58.1
CLG,Team Liquid,Defeat,28:21,45.8,58.5
Cloud9,TSM,Defeat,35:37,60.2,71
Evil Geniuses,Immortals,Victory,36:38,66,57.3
Golden Guardians,100 Thieves,Defeat,46:09,83.5,79.2
Cloud9,Dignitas,Victory,26:35,53.9,40.5
Golden Guardians,Team Liquid,Defeat,26:47,43.7,50.8
Golden Guardians,100 Thieves,Defeat,26:48,42.4,57
Dignitas,Evil Geniuses,Defeat,46:01,78.7,80.8
Dignitas,Evil Geniuses,Defeat,33:20,51,64.5
Golden Guardians,FlyQuest,Victory,27:10,51.2,43.8
100 Thieves,Team Liquid,Defeat,22:58,33.9,48.2
TSM,FlyQuest,Defeat,32:16,57.4,63.6
Team Liquid,100 Thieves,Victory,32:25,63.6,55
FlyQuest,CLG,Defeat,39:16,64.4,72
Evil Geniuses,Team Liquid,Defeat,37:43,59.5,66.3
Golden Guardians,Team Liquid,Victory,29:16,57,50.8
Evil Geniuses,FlyQuest,Victory,30:09,60.9,48.7
Cloud9,Dignitas,Victory,29:52,59.8,48.2
TSM,Immortals,Victory,33:54,63.6,63.4
Team Liquid,Evil Geniuses,Victory,27:53,56.6,46.1
100 Thieves,Immortals,Defeat,34:33,62.7,62.9
Team Liquid,Cloud9,Victory,38:54,72.4,71.4
Evil Geniuses,100 Thieves,Defeat,48:31,85.9,91.2
Golden Guardians,Dignitas,Victory,26:45,52.2,44.2
Team Liquid,Dignitas,Victory,30:12,58.7,48.3
FlyQuest,Cloud9,Defeat,26:58,44.4,58.2
Golden Guardians,100 Thieves,Defeat,31:23,51.2,64.9
Team Liquid,100 Thieves,Victory,30:56,60.3,51.2
100 Thieves,Team Liquid,Victory,30:30,60.1,48.7
Cloud9,Golden Guardians,Victory,27:17,58,44.4
CLG,Dignitas,Defeat,29:45,47.7,55.9
Dignitas,Cloud9,Defeat,33:53,59.4,60.7
Cloud9,Immortals,Victory,25:56,52.7,42.8
TSM,Dignitas,Defeat,39:49,69.7,76.7
Evil Geniuses,CLG,Victory,25:22,50.9,35
TSM,Evil Geniuses,Defeat,25:56,38.9,48.9
TSM,100 Thieves,Defeat,35:04,56.4,71
CLG,Immortals,Defeat,31:20,51.9,62.6
Immortals,CLG,Defeat,35:02,62.7,62.5
TSM,100 Thieves,Defeat,27:58,45.2,59
Dignitas,FlyQuest,Defeat,38:19,63.8,72.7
CLG,Cloud9,Victory,38:16,71.2,63.9
Golden Guardians,CLG,Victory,39:10,75.9,63.1
TSM,FlyQuest,Defeat,25:12,41.3,51.7
Team Liquid,FlyQuest,Defeat,41:03,70.4,72.9
Cloud9,CLG,Victory,35:32,69.1,57
Golden Guardians,Evil Geniuses,Defeat,32:14,49.2,60.4
FlyQuest,100 Thieves,Victory,39:51,72.3,65.8
100 Thieves,Dignitas,Victory,36:19,66.8,57.9
Team Liquid,TSM,Victory,28:41,57.7,44.1
Evil Geniuses,TSM,Victory,30:21,61.1,47.1
FlyQuest,Team Liquid,Defeat,33:18,48.9,62.6
Team Liquid,100 Thieves,Defeat,31:45,53.9,56.3
Immortals,Team Liquid,Defeat,36:33,63.8,70.2
CLG,100 Thieves,Defeat,29:18,46.9,56.9
100 Thieves,Golden Guardians,Victory,39:10,76.9,70.2
TSM,Team Liquid,Victory,28:55,56.9,49
Cloud9,Team Liquid,Victory,31:41,61.2,56.4
FlyQuest,100 Thieves,Defeat,31:58,48.8,58.3
Immortals,Team Liquid,Defeat,34:47,57.1,66.4
TSM,100 Thieves,Defeat,27:05,41.8,51.5
FlyQuest,Dignitas,Victory,31:05,55.9,49.3
100 Thieves,Team Liquid,Victory,32:31,59.3,55.4
Dignitas,Team Liquid,Defeat,31:57,53.4,62.6
Dignitas,Team Liquid,Defeat,39:08,65.9,77
Evil Geniuses,Immortals,Defeat,36:53,62.4,72.8
100 Thieves,FlyQuest,Defeat,43:21,76.3,82.8
Immortals,Cloud9,Defeat,30:31,48.2,56.7
TSM,Golden Guardians,Defeat,43:36,84.3,86.2
Immortals,TSM,Defeat,31:21,54,63.9
Evil Geniuses,Team Liquid,Victory,38:40,69.8,59.7
100 Thieves,FlyQuest,Defeat,26:59,42.8,49.8
CLG,TSM,Defeat,35:38,63.5,68
Immortals,Cloud9,Defeat,31:10,47.9,60
Golden Guardians,CLG,Defeat,37:01,59.1,70.5
Immortals,Evil Geniuses,Defeat,46:27,80.4,83.4
Cloud9,CLG,Defeat,35:35,57.7,68.1
Dignitas,Immortals,Victory,38:42,70.6,63
100 Thieves,Team Liquid,Victory,34:09,60.3,61.3
Evil Geniuses,Cloud9,Victory,32:44,61.7,56.3
Evil Geniuses,Cloud9,Defeat,27:37,42.7,54.5
FlyQuest,Dignitas,Victory,32:28,59.7,54.5
Evil Geniuses,Immortals,Victory,40:08,78.3,63.9
CLG,FlyQuest,Defeat,40:12,70.8,73.4
TSM,Evil Geniuses,Defeat,24:49,39.5,54.1
Dignitas,Immortals,Victory,29:59,61,50
100 Thieves,Team Liquid,Victory,30:30,60.7,45.7
Evil Geniuses,TSM,Victory,33:51,65.3,56.2
Dignitas,Cloud9,Defeat,35:16,59.2,66.8
FlyQuest,Golden Guardians,Victory,29:35,58.8,46.3
Golden Guardians,Immortals,Victory,31:54,61.4,47.5
CLG,Cloud9,Defeat,30:52,48,58.3
CLG,TSM,Victory,34:53,68.8,59
Golden Guardians,Evil Geniuses,Victory,32:06,61,51.3
Cloud9,100 Thieves,Defeat,28:13,45.3,56
TSM,Cloud9,Defeat,32:36,56.5,63.7
Evil Geniuses,100 Thieves,Defeat,38:09,61.8,72.8
FlyQuest,Team Liquid,Defeat,37:31,63.7,72.3
Team Liquid,Evil Geniuses,Victory,33:31,64.2,52.2
Dignitas,Evil Geniuses,Defeat,37:03,61.5,69.7
TSM,Cloud9,Defeat,31:04,49.6,67
100 Thieves,CLG,Victory,28:28,53.3,45.8
TSM,Golden Guardians,Victory,27:41,53.6,44.6
Evil Geniuses,FlyQuest,Victory,27:12,52.4,42.5
CLG,FlyQuest,Victory,51:38,92.9,89.1
Cloud9,100 Thieves,Defeat,38:48,66.8,73.5
Evil Geniuses,Cloud9,Victory,28:29,56.4,46.5
Evil Geniuses,Cloud9,Victory,33:07,62.7,54.7
Golden Guardians,TSM,Defeat,35:30,59.2,69.8
Golden Guardians,TSM,Victory,34:37,70,55.5
Team Liquid,FlyQuest,Victory,36:13,67.9,61.7
Golden Guardians,CLG,Defeat,34:03,52.8,61.8
Team Liquid,100 Thieves,Defeat,25:13,39.4,47.5
CLG,FlyQuest,Defeat,48:56,87.9,85.9
Team Liquid,100 Thieves,Defeat,40:12,67.8,74
CLG,Team Liquid,Victory,33:32,62.3,56.9
Golden Guardians,Cloud9,Defeat,31:15,53.6,59.7
Dignitas,TSM,Victory,29:27,59,52.1
Evil Geniuses,Golden Guardians,Victory,28:51,56.8,47.7
Cloud9,100 Thieves,Victory,30:45,64.1,49.5
TSM,CLG,Victory,26:59,55.4,42.4
Cloud9,100 Thieves,Defeat,26:16,43.5,51.2
Golden Guardians,Dignitas,Victory,41:25,76.7,67.2
CLG,Team Liquid,Defeat,28:41,49.4,56.7
CLG,Dignitas,Defeat,37:15,62,72.7
Evil Geniuses,Team Liquid,Defeat,36:24,58.8,66.9
Evil Geniuses,Team Liquid,Victory,30:31,63.5,47.5
Immortals,CLG,Defeat,33:06,60.5,61.3
Team Liquid,Golden Guardians,Victory,31:14,66.1,55.5
Golden Guardians,Team Liquid,Defeat,31:21,49.5,62.9
Cloud9,Team Liquid,Victory,37:57,73,62.5
100 Thieves,Immortals,Victory,32:18,56.7,52
Team Liquid,Evil Geniuses,Victory,24:34,52.8,37.4
Immortals,Golden Guardians,Victory,33:02,62.8,53
Evil Geniuses,Team Liquid,Victory,32:14,60,52.8
Cloud9,100 Thieves,Victory,33:02,66.9,51.9
Evil Geniuses,CLG,Defeat,42:27,81.3,81.9
