blue team,red team,result,game time,blue gold,red gold
TSM,100 Thieves,Defeat,26:35,38.3,55.2
Cloud9,Golden Guardians,Victory,34:39,64.4,58.1
100 Thieves,Dignitas,Defeat,36:51,61,64.3
FlyQuest,TSM,Defeat,50:07,80.5,92.6
Dignitas,100 Thieves,Victory,28:14,54.2,42.7
Team Liquid,FlyQuest,Victory,30:09,60.2,46.9
100 Thieves,Golden Guardians,Victory,32:56,67.2,52.5
FlyQuest,Team Liquid,Defeat,29:34,47.2,61
Cloud9,FlyQuest,Victory,35:49,71.7,61
Evil Geniuses,Golden Guardians,Victory,32:36,66.4,48.8
Golden Guardians,Evil Geniuses,Defeat,27:14,42.3,53.8
Dignitas,Team Liquid,Defeat,25:23,38.3,49.9
Cloud9,CLG,Victory,31:12,62.2,50.6
CLG,Immortals,Victory,24:19,49.6,38
CLG,Cloud9,Victory,36:33,72.1,60.1
Cloud9,CLG,Victory,29:24,58.8,46.8
Team Liquid,Evil Geniuses,Defeat,40:59,70.9,75
Immortals,Dignitas,Defeat,37:52,64.2,66.5
Team Liquid,Dignitas,Defeat,43:08,71.1,77.6
CLG,Evil Geniuses,Defeat,24:03,35.2,51.4
Team Liquid,Dignitas,Victory,33:23,69.1,58.8
Dignitas,Team Liquid,Defeat,35:30,58.9,68.1
FlyQuest,100 Thieves,Victory,33:21,63.4,53.9
Dignitas,Team Liquid,Defeat,33:56,55.2,65
Evil Geniuses,Cloud9,Victory,26:14,53.8,42.5
Team Liquid,CLG,Victory,30:07,62.1,49.3
Cloud9,Evil Geniuses,Defeat,29:41,45.6,56.7
Evil Geniuses,TSM,Victory,33:51,65.3,56.2
TSM,Cloud9,Defeat,29:10,47.2,56.4
Cloud9,Evil Geniuses,Defeat,29:46,52.4,53.1
CLG,FlyQuest,Defeat,48:56,87.9,85.9
Evil Geniuses,Immortals,Victory,31:43,64.1,49.7
Evil Geniuses,Team Liquid,Defeat,26:24,43.3,53.4
Team Liquid,100 Thieves,Defeat,40:12,67.8,74
Golden Guardians,FlyQuest,Defeat,30:47,47.4,54.6
Evil Geniuses,Team Liquid,Defeat,34:03,55.3,67.5
Golden Guardians,Cloud9,Defeat,26:05,42.5,48.1
Dignitas,CLG,Defeat,36:12,58.4,67.5
Team Liquid,Evil Geniuses,Victory,30:52,57,49.7
Dignitas,Immortals,Victory,31:28,58.4,46.7
100 Thieves,Cloud9,Victory,29:39,59.7,45.4
100 Thieves,CLG,Victory,31:29,65.8,48.6
Dignitas,Evil Geniuses,Defeat,46:01,78.7,80.8
Immortals,Team Liquid,Defeat,30:24,46.8,58.6
TSM,Dignitas,Defeat,37:54,64.2,70.3
100 Thieves,Immortals,Defeat,34:33,62.7,62.9
Golden Guardians,TSM,Victory,28:09,57,45.6
Cloud9,Evil Geniuses,Victory,38:47,73.3,67
Team Liquid,Cloud9,Victory,38:54,72.4,71.4
Golden Guardians,CLG,Victory,39:10,75.9,63.1
Evil Geniuses,Dignitas,Victory,26:09,55.4,41.4
FlyQuest,Golden Guardians,Victory,34:09,60.1,59.2
TSM,FlyQuest,Defeat,25:12,41.3,51.7
Immortals,Team Liquid,Defeat,29:05,46.6,60.8
Immortals,Cloud9,Defeat,30:31,48.2,56.7
TSM,Golden Guardians,Defeat,43:36,84.3,86.2
Evil Geniuses,100 Thieves,Defeat,38:09,61.8,72.8
FlyQuest,Team Liquid,Defeat,37:31,63.7,72.3
CLG,Dignitas,Defeat,37:15,62,72.7
Golden Guardians,100 Thieves,Defeat,26:48,42.4,57
TSM,Immortals,Victory,33:54,63.6,63.4
Team Liquid,Evil Geniuses,Victory,27:53,56.6,46.1
Dignitas,FlyQuest,Defeat,38:19,63.8,72.7
CLG,Cloud9,Victory,38:16,71.2,63.9
Evil Geniuses,Immortals,Defeat,36:53,62.4,72.8
Cloud9,Dignitas,Victory,26:35,53.9,40.5
100 Thieves,FlyQuest,Defeat,43:21,76.3,82.8
TSM,Cloud9,Defeat,32:36,56.5,63.7
Golden Guardians,Team Liquid,Victory,29:16,57,50.8
Golden Guardians,Dignitas,Victory,41:25,76.7,67.2
Evil Geniuses,Immortals,Victory,36:38,66,57.3
TSM,100 Thieves,Defeat,35:04,56.4,71
CLG,Team Liquid,Defeat,28:41,49.4,56.7
TSM,FlyQuest,Defeat,32:16,57.4,63.6
Team Liquid,100 Thieves,Victory,32:25,63.6,55
CLG,Immortals,Defeat,31:20,51.9,62.6
Cloud9,Golden Guardians,Victory,27:17,58,44.4
Dignitas,Team Liquid,Defeat,31:57,53.4,62.6
CLG,Dignitas,Defeat,29:45,47.7,55.9
CLG,TSM,Victory,34:53,68.8,59
Immortals,Team Liquid,Defeat,36:33,63.8,70.2
Cloud9,100 Thieves,Victory,30:45,64.1,49.5
CLG,100 Thieves,Defeat,29:18,46.9,56.9
Evil Geniuses,Cloud9,Defeat,27:37,42.7,54.5
Evil Geniuses,FlyQuest,Victory,32:37,62.5,50.2
Golden Guardians,100 Thieves,Defeat,46:09,83.5,79.2
FlyQuest,Dignitas,Victory,32:28,59.7,54.5
FlyQuest,Immortals,Defeat,32:24,52.3,60.7
FlyQuest,CLG,Defeat,39:16,64.4,72
Evil Geniuses,Team Liquid,Defeat,37:43,59.5,66.3
Golden Guardians,TSM,Defeat,35:30,59.2,69.8
Evil Geniuses,Golden Guardians,Victory,28:33,56.2,47.3
Cloud9,Immortals,Victory,25:56,52.7,42.8
Team Liquid,TSM,Victory,27:32,53.6,45.6
TSM,Dignitas,Defeat,39:49,69.7,76.7
CLG,Evil Geniuses,Victory,38:28,72.1,69.4
Cloud9,Team Liquid,Victory,31:41,61.2,56.4
Cloud9,FlyQuest,Victory,32:51,67.9,53.8
FlyQuest,100 Thieves,Defeat,31:58,48.8,58.3
TSM,Evil Geniuses,Defeat,24:49,39.5,54.1
Immortals,100 Thieves,Defeat,30:55,44.9,58.1
