blue team,red team,result,game time,blue gold,red gold
T1,Saigon Buffalo,Victory,26:04,55.8,44.5
Team Aze,DetonatioN FM,Defeat,26:35,40,50.5
ORDER,G2 Esports,Defeat,26:15,43.3,52.5
Evil Geniuses,G2 Esports,Defeat,31:33,51.3,64.3
RED Canids,PSG Talon,Victory,28:01,54.6,42.3
G2 Esports,Evil Geniuses,Victory,38:26,77.9,70.4
Evil Geniuses,ORDER,Victory,38:08,71.7,58.9
DetonatioN FM,Saigon Buffalo,Defeat,35:49,65,68.4
Team Aze,T1,Defeat,20:45,30.6,48.1
İstanbul Wildcats,RED Canids,Victory,28:22,52.4,49.2
ORDER,Evil Geniuses,Defeat,24:31,38.5,51.7
G2 Esports,ORDER,Victory,24:32,51.9,39.8
PSG Talon,İstanbul Wildcats,Victory,23:24,46.8,37
Saigon Buffalo,Team Aze,Victory,20:40,46.8,32.4
T1,DetonatioN FM,Victory,24:43,57.7,40.3
PSG Talon,RED Canids,Victory,27:47,51.8,44.3
RNG,İstanbul Wildcats,Victory,23:17,52.7,38.8
İstanbul Wildcats,PSG Talon,Defeat,32:57,55.6,63.5
RED Canids,RNG,Defeat,20:34,29.6,43.7
RED Canids,İstanbul Wildcats,Victory,29:59,59.5,49.5
PSG Talon,RNG,Defeat,33:30,59.5,66.3
Evil Geniuses,G2 Esports,Defeat,39:19,69.3,71.3
Evil Geniuses,ORDER,Victory,23:41,54.4,34.5
G2 Esports,ORDER,Victory,26:15,60.4,42.1
G2 Esports,Evil Geniuses,Victory,34:51,66.5,62.7
ORDER,Evil Geniuses,Defeat,23:11,34,48.4
ORDER,G2 Esports,Defeat,24:11,37.4,51.7
İstanbul Wildcats,RNG,Defeat,25:27,41.9,54.4
RNG,PSG Talon,Victory,23:39,51.4,36.9
RNG,RED Canids,Victory,29:38,64.8,48.4
Team Aze,Saigon Buffalo,Defeat,23:02,34.7,53.5
DetonatioN FM,T1,Defeat,23:43,38.9,50.3
Saigon Buffalo,DetonatioN FM,Victory,36:52,70.3,70.5
T1,Team Aze,Victory,22:16,54.3,35.9
DetonatioN FM,Team Aze,Defeat,37:03,70.6,71.3
Saigon Buffalo,T1,Defeat,21:54,34.1,45.8
İstanbul Wildcats,RNG,Defeat,22:26,34.2,47.9
RNG,PSG Talon,Victory,28:10,57.6,43.5
RNG,RED Canids,Victory,27:52,60.5,45.1
T1,G2 Esports,Defeat,39:09,69.7,73.6
Evil Geniuses,RNG,Defeat,34:35,59.5,69.7
PSG Talon,Saigon Buffalo,Victory,40:47,78.1,72.8
G2 Esports,RNG,Victory,36:33,67.6,59.9
Saigon Buffalo,Evil Geniuses,Defeat,28:46,46.8,57.1
PSG Talon,T1,Defeat,33:10,51.8,68.3
G2 Esports,Evil Geniuses,Victory,33:52,64.8,54.8
RNG,PSG Talon,Victory,31:22,63.5,48.5
T1,Saigon Buffalo,Victory,22:56,50.3,35.8
PSG Talon,Evil Geniuses,Defeat,34:60,52.9,69.9
RNG,T1,Victory,32:38,63.3,57.8
Saigon Buffalo,G2 Esports,Defeat,23:19,38.9,49
Evil Geniuses,T1,Defeat,25:03,39.9,51
G2 Esports,PSG Talon,Defeat,27:41,44.4,49.8
RNG,Saigon Buffalo,Victory,35:37,68.7,59.3
T1,PSG Talon,Victory,34:34,66.6,55
RNG,G2 Esports,Victory,26:52,51.7,41.4
Evil Geniuses,Saigon Buffalo,Victory,32:21,65.7,53.5
PSG Talon,G2 Esports,Victory,33:23,66.6,58.2
T1,Evil Geniuses,Defeat,32:02,56.1,62.4
Saigon Buffalo,RNG,Defeat,35:30,66.5,67.3
G2 Esports,T1,Defeat,21:45,38.6,44.7
Saigon Buffalo,PSG Talon,Victory,28:30,54.3,47.9
RNG,Evil Geniuses,Victory,24:28,52.7,36.1
G2 Esports,Saigon Buffalo,Defeat,26:01,42.3,52
Evil Geniuses,PSG Talon,Victory,29:21,59.7,43.4
Saigon Buffalo,T1,Defeat,23:26,36.3,52.9
PSG Talon,RNG,Defeat,26:29,40.3,55.4
Evil Geniuses,G2 Esports,Defeat,35:11,58,66.6
T1,RNG,Victory,32:30,62,56.5
RNG,Evil Geniuses,Victory,27:44,58.5,40.6
Evil Geniuses,RNG,Defeat,35:38,60.8,70.6
Evil Geniuses,RNG,Defeat,43:46,79.1,87.5
T1,G2 Esports,Victory,24:11,50.9,39.1
G2 Esports,T1,Defeat,32:12,51.9,65.6
G2 Esports,T1,Defeat,20:43,30.4,45.2
RNG,T1,Victory,33:13,64.5,55.2
T1,RNG,Victory,26:06,51.1,43.4
RNG,T1,Victory,28:19,58.6,48
T1,RNG,Victory,29:50,54.5,44.2
RNG,T1,Victory,25:40,50.3,38.5
